Idade,Gênero,Area_Setor,Modelo_Trabalho,Autonomia_Trabalho,Horas_Extras_Semana,Reunioes_Intensas_Semana,EE_Exaustao,C_Cinismo,EP_Eficacia,Risco_Score,TARGET_Risco_Burnout
39,Feminino,Vendas/MKT,Híbrido,4,10,5,5,5,3,20.5,Alto Risco
45,Feminino,Financeiro,Híbrido,3,10,5,4,5,5,17.0,Alto Risco
47,Masculino,Administrativo,Home Office,2,8,1,4,1,2,12.7,Moderado Risco
46,Feminino,Tecnologia,Presencial,5,11,1,1,3,4,10.1,Baixo Risco
50,Masculino,Logística,Híbrido,3,8,0,1,5,5,12.0,Moderado Risco
36,Masculino,Educação,Presencial,2,2,7,4,2,3,12.4,Moderado Risco
22,Feminino,Logística,Híbrido,4,0,2,3,4,5,12.3,Moderado Risco
46,Outro,Administrativo,Home Office,1,0,7,4,5,5,14.0,Moderado Risco
28,Outro,Administrativo,Presencial,1,13,3,2,5,5,13.0,Moderado Risco
30,Masculino,Tecnologia,Híbrido,5,2,3,2,4,4,9.8,Baixo Risco
45,Feminino,Tecnologia,Presencial,5,9,7,4,3,2,16.1,Moderado Risco
22,Feminino,Tecnologia,Presencial,1,13,7,3,2,5,11.9,Baixo Risco
29,Feminino,Educação,Híbrido,1,7,2,1,2,1,10.4,Baixo Risco
45,Feminino,Financeiro,Híbrido,5,14,0,1,5,5,11.5,Baixo Risco
32,Feminino,Vendas/MKT,Presencial,1,3,4,4,1,5,9.2,Baixo Risco
38,Outro,Financeiro,Home Office,3,10,1,5,1,4,13.7,Moderado Risco
29,Feminino,Educação,Presencial,2,7,6,1,5,4,12.0,Moderado Risco
56,Masculino,Vendas/MKT,Presencial,5,13,2,2,1,4,9.2,Baixo Risco
56,Feminino,Logística,Presencial,2,6,0,2,2,4,10.9,Baixo Risco
54,Masculino,Logística,Presencial,4,13,6,5,2,5,16.9,Moderado Risco
26,Masculino,Tecnologia,Presencial,4,7,1,5,4,5,14.8,Moderado Risco
49,Feminino,Financeiro,Home Office,3,1,2,2,2,3,8.4,Baixo Risco
28,Feminino,Logística,Híbrido,4,7,6,4,3,4,16.1,Moderado Risco
30,Masculino,Financeiro,Híbrido,5,8,3,4,2,3,12.9,Moderado Risco
29,Masculino,Administrativo,Home Office,3,9,7,4,5,2,18.5,Alto Risco
33,Masculino,Administrativo,Híbrido,3,10,7,2,1,4,10.2,Baixo Risco
55,Feminino,Vendas/MKT,Presencial,5,5,3,5,1,2,14.2,Moderado Risco
54,Feminino,Financeiro,Presencial,1,13,2,3,2,1,14.9,Moderado Risco
44,Outro,Vendas/MKT,Presencial,2,2,1,2,2,5,6.4,Baixo Risco
45,Masculino,Financeiro,Híbrido,5,6,5,2,1,5,7.7,Baixo Risco
58,Masculino,Saúde,Presencial,1,8,5,1,1,3,10.2,Baixo Risco
56,Masculino,Saúde,Híbrido,1,7,3,4,2,5,12.9,Moderado Risco
43,Masculino,Tecnologia,Híbrido,4,14,2,1,3,2,12.1,Moderado Risco
48,Feminino,Saúde,Home Office,3,13,2,2,3,5,12.6,Moderado Risco
56,Feminino,Financeiro,Home Office,3,7,2,2,1,4,7.7,Baixo Risco
22,Feminino,Administrativo,Presencial,4,10,2,2,4,1,15.8,Moderado Risco
56,Masculino,Saúde,Presencial,4,6,4,3,3,3,15.6,Moderado Risco
58,Feminino,Administrativo,Híbrido,3,4,4,1,5,3,11.5,Baixo Risco
35,Feminino,Saúde,Presencial,5,1,10,5,1,3,15.7,Moderado Risco
24,Masculino,Tecnologia,Presencial,5,4,1,4,3,4,11.6,Baixo Risco
22,Masculino,Logística,Híbrido,5,4,7,4,2,5,12.4,Moderado Risco
26,Masculino,Educação,Híbrido,5,1,7,3,4,4,12.3,Moderado Risco
47,Masculino,Tecnologia,Home Office,4,10,9,1,2,2,12.9,Moderado Risco
35,Feminino,Saúde,Híbrido,2,9,7,4,2,5,13.9,Moderado Risco
48,Masculino,Financeiro,Home Office,2,0,6,2,4,4,10.8,Baixo Risco
30,Masculino,Saúde,Home Office,3,4,6,1,1,2,9.7,Baixo Risco
36,Masculino,Vendas/MKT,Presencial,2,5,3,4,2,2,13.9,Moderado Risco
36,Feminino,Logística,Híbrido,5,12,1,1,1,4,9.7,Baixo Risco
47,Feminino,Tecnologia,Híbrido,4,6,1,3,1,4,9.2,Baixo Risco
34,Masculino,Administrativo,Híbrido,5,10,6,5,1,1,17.7,Alto Risco
53,Masculino,Saúde,Híbrido,1,1,9,5,2,4,15.9,Moderado Risco
53,Masculino,Vendas/MKT,Híbrido,4,5,3,1,1,3,7.2,Baixo Risco
25,Masculino,Vendas/MKT,Híbrido,1,14,4,3,2,5,11.9,Baixo Risco
51,Masculino,Administrativo,Presencial,1,11,4,4,1,2,15.2,Moderado Risco
58,Masculino,Financeiro,Home Office,3,7,3,2,5,3,13.5,Moderado Risco
44,Masculino,Educação,Híbrido,1,5,6,1,2,3,9.4,Baixo Risco
36,Feminino,Saúde,Presencial,2,2,4,1,5,2,14.5,Moderado Risco
50,Masculino,Educação,Presencial,2,2,7,4,1,5,9.2,Baixo Risco
57,Masculino,Financeiro,Home Office,1,10,4,2,2,1,14.4,Moderado Risco
34,Feminino,Financeiro,Híbrido,3,6,2,2,4,1,14.3,Moderado Risco
53,Feminino,Administrativo,Home Office,1,1,6,4,5,3,16.0,Moderado Risco
28,Feminino,Tecnologia,Home Office,4,2,4,1,3,3,9.1,Baixo Risco
43,Masculino,Administrativo,Home Office,4,6,3,4,3,4,13.1,Moderado Risco
49,Feminino,Administrativo,Híbrido,4,8,5,5,4,1,19.8,Alto Risco
23,Masculino,Logística,Presencial,4,0,6,4,4,1,18.8,Alto Risco
27,Feminino,Financeiro,Presencial,1,4,0,3,3,5,9.1,Baixo Risco
49,Feminino,Financeiro,Híbrido,5,12,3,1,2,4,8.9,Baixo Risco
49,Masculino,Administrativo,Híbrido,5,1,0,3,1,2,9.7,Baixo Risco
41,Feminino,Tecnologia,Híbrido,4,11,2,1,2,2,10.9,Baixo Risco
51,Masculino,Logística,Híbrido,3,4,1,1,3,5,8.1,Baixo Risco
32,Masculino,Educação,Híbrido,3,12,6,5,5,2,21.5,Alto Risco
49,Masculino,Administrativo,Presencial,1,12,6,4,5,1,21.0,Alto Risco
46,Feminino,Vendas/MKT,Presencial,5,5,6,4,1,3,12.7,Moderado Risco
54,Masculino,Educação,Home Office,1,7,5,5,1,4,13.2,Moderado Risco
22,Masculino,Tecnologia,Presencial,2,6,1,5,3,2,16.6,Moderado Risco
48,Masculino,Financeiro,Híbrido,4,4,3,2,3,2,10.6,Baixo Risco
34,Masculino,Tecnologia,Híbrido,2,10,5,3,1,2,13.7,Moderado Risco
24,Masculino,Administrativo,Home Office,2,4,6,1,5,2,12.5,Moderado Risco
27,Masculino,Vendas/MKT,Home Office,3,13,1,2,4,3,13.8,Moderado Risco
29,Masculino,Vendas/MKT,Híbrido,5,1,4,4,4,3,14.8,Moderado Risco
48,Feminino,Educação,Híbrido,4,5,5,2,4,5,11.3,Baixo Risco
30,Feminino,Logística,Presencial,1,2,7,4,5,1,20.0,Alto Risco
58,Feminino,Tecnologia,Híbrido,4,5,11,5,2,2,17.4,Alto Risco
54,Feminino,Saúde,Home Office,1,2,6,1,2,5,7.9,Baixo Risco
45,Feminino,Tecnologia,Híbrido,1,1,7,1,5,1,13.5,Moderado Risco
36,Feminino,Vendas/MKT,Híbrido,5,7,2,1,2,3,8.4,Baixo Risco
53,Masculino,Tecnologia,Presencial,2,3,11,5,4,2,18.3,Alto Risco
53,Feminino,Vendas/MKT,Home Office,1,4,5,4,5,3,16.0,Moderado Risco
45,Masculino,Educação,Presencial,5,8,3,5,1,2,14.2,Moderado Risco
33,Feminino,Financeiro,Home Office,2,3,0,1,5,3,10.5,Baixo Risco
23,Feminino,Tecnologia,Híbrido,2,12,2,1,3,5,9.1,Baixo Risco
24,Feminino,Saúde,Híbrido,4,0,9,1,4,5,11.3,Baixo Risco
58,Feminino,Saúde,Presencial,4,10,1,4,4,3,18.8,Alto Risco
38,Masculino,Vendas/MKT,Presencial,4,5,5,4,3,3,15.1,Moderado Risco
23,Masculino,Tecnologia,Home Office,3,10,3,2,4,4,12.8,Moderado Risco
23,Feminino,Vendas/MKT,Home Office,2,10,6,2,3,2,14.6,Moderado Risco
49,Masculino,Vendas/MKT,Híbrido,3,4,2,3,3,4,10.1,Baixo Risco
44,Masculino,Tecnologia,Híbrido,4,9,3,4,4,3,15.3,Moderado Risco
58,Masculino,Vendas/MKT,Híbrido,5,2,4,5,5,5,15.5,Moderado Risco
53,Masculino,Educação,Híbrido,4,14,0,4,3,2,16.6,Moderado Risco
54,Masculino,Vendas/MKT,Híbrido,1,10,1,2,1,5,8.2,Baixo Risco
22,Masculino,Tecnologia,Híbrido,5,10,1,1,3,3,11.1,Baixo Risco
40,Masculino,Tecnologia,Home Office,5,13,3,2,1,4,9.2,Baixo Risco
23,Feminino,Saúde,Home Office,2,4,4,2,5,2,16.0,Moderado Risco
47,Feminino,Financeiro,Híbrido,3,7,6,2,3,4,11.1,Baixo Risco
53,Masculino,Vendas/MKT,Home Office,1,0,5,3,3,2,13.1,Moderado Risco
27,Masculino,Vendas/MKT,Híbrido,5,3,0,3,3,5,9.1,Baixo Risco
53,Masculino,Administrativo,Presencial,3,2,3,3,1,1,10.7,Baixo Risco
25,Masculino,Tecnologia,Presencial,3,3,6,5,5,2,18.5,Alto Risco
32,Feminino,Tecnologia,Híbrido,1,1,9,3,4,3,14.3,Moderado Risco
38,Masculino,Educação,Home Office,1,1,3,5,2,2,13.9,Moderado Risco
59,Masculino,Saúde,Home Office,4,14,4,4,3,3,18.6,Alto Risco
45,Feminino,Saúde,Híbrido,4,1,1,4,3,1,16.6,Moderado Risco
26,Masculino,Logística,Presencial,5,2,5,3,3,1,16.1,Moderado Risco
55,Masculino,Tecnologia,Presencial,5,11,9,4,4,5,16.8,Moderado Risco
27,Feminino,Educação,Híbrido,5,8,5,4,5,5,15.5,Moderado Risco
43,Masculino,Saúde,Home Office,4,4,1,1,1,1,9.7,Baixo Risco
32,Feminino,Educação,Home Office,5,3,1,3,4,2,13.3,Moderado Risco
37,Masculino,Vendas/MKT,Presencial,5,12,5,3,5,2,18.5,Alto Risco
54,Feminino,Tecnologia,Home Office,4,14,1,2,2,5,9.4,Baixo Risco
30,Masculino,Administrativo,Híbrido,4,3,0,2,5,2,13.0,Moderado Risco
27,Masculino,Logística,Presencial,5,2,1,4,5,2,18.0,Alto Risco
37,Feminino,Administrativo,Híbrido,5,8,2,2,1,2,9.7,Baixo Risco
50,Masculino,Saúde,Home Office,3,10,3,1,5,2,16.5,Moderado Risco
24,Outro,Educação,Presencial,2,9,0,3,5,3,15.0,Moderado Risco
41,Feminino,Financeiro,Home Office,4,0,4,1,3,5,7.1,Baixo Risco
57,Feminino,Vendas/MKT,Presencial,2,13,7,3,1,1,14.7,Moderado Risco
40,Outro,Educação,Presencial,4,5,3,5,5,1,20.0,Alto Risco
47,Outro,Financeiro,Presencial,3,3,5,3,5,3,14.5,Moderado Risco
24,Feminino,Administrativo,Home Office,2,7,4,1,3,5,8.6,Baixo Risco
40,Feminino,Financeiro,Híbrido,3,6,1,4,1,3,11.7,Baixo Risco
41,Feminino,Saúde,Home Office,1,2,2,2,2,5,8.4,Baixo Risco
53,Outro,Educação,Híbrido,2,4,5,2,1,3,8.2,Baixo Risco
28,Feminino,Educação,Híbrido,2,10,5,1,4,2,14.3,Moderado Risco
54,Masculino,Financeiro,Home Office,2,10,5,2,5,3,16.0,Moderado Risco
39,Masculino,Financeiro,Híbrido,1,3,4,4,4,3,14.8,Moderado Risco
22,Feminino,Administrativo,Home Office,1,3,6,2,4,4,10.8,Baixo Risco
32,Masculino,Vendas/MKT,Presencial,3,9,0,5,2,5,12.4,Moderado Risco
49,Feminino,Tecnologia,Híbrido,1,14,7,3,5,2,18.5,Alto Risco
46,Masculino,Saúde,Home Office,4,7,8,5,1,3,17.2,Alto Risco
44,Feminino,Administrativo,Home Office,5,8,2,3,3,2,13.6,Moderado Risco
52,Masculino,Vendas/MKT,Presencial,2,10,5,5,5,5,18.5,Alto Risco
51,Masculino,Administrativo,Híbrido,3,12,5,2,4,1,16.8,Moderado Risco
56,Feminino,Saúde,Híbrido,3,13,11,2,4,4,16.8,Moderado Risco
28,Feminino,Vendas/MKT,Híbrido,3,13,5,4,5,4,18.0,Alto Risco
37,Feminino,Vendas/MKT,Presencial,3,3,1,5,2,5,10.9,Baixo Risco
47,Feminino,Saúde,Presencial,2,11,4,3,1,4,13.7,Moderado Risco
23,Masculino,Logística,Home Office,3,1,0,3,3,1,15.1,Moderado Risco
22,Masculino,Educação,Home Office,2,0,7,2,2,2,10.4,Baixo Risco
33,Masculino,Financeiro,Híbrido,3,13,3,2,1,3,10.2,Baixo Risco
26,Masculino,Vendas/MKT,Home Office,3,9,7,2,5,5,12.5,Moderado Risco
58,Masculino,Vendas/MKT,Presencial,5,3,4,5,2,5,11.9,Baixo Risco
53,Masculino,Administrativo,Híbrido,4,14,4,3,3,4,14.1,Moderado Risco
30,Feminino,Vendas/MKT,Home Office,1,7,6,5,1,3,14.2,Moderado Risco
56,Feminino,Financeiro,Home Office,1,4,6,3,5,4,13.5,Moderado Risco
40,Feminino,Financeiro,Híbrido,1,1,7,3,1,4,8.7,Baixo Risco
37,Masculino,Vendas/MKT,Home Office,4,14,0,4,3,2,16.6,Moderado Risco
24,Feminino,Financeiro,Híbrido,2,10,6,2,5,2,17.0,Alto Risco
41,Feminino,Saúde,Home Office,1,3,5,5,4,4,17.3,Alto Risco
45,Feminino,Logística,Híbrido,1,3,0,5,4,1,19.3,Alto Risco
54,Masculino,Tecnologia,Home Office,1,9,7,2,2,5,8.9,Baixo Risco
45,Feminino,Educação,Presencial,2,4,2,5,5,1,18.5,Alto Risco
32,Feminino,Saúde,Híbrido,4,1,1,4,5,5,15.0,Moderado Risco
29,Feminino,Saúde,Híbrido,4,6,2,5,2,3,16.4,Moderado Risco
57,Feminino,Administrativo,Híbrido,2,4,7,3,1,3,9.7,Baixo Risco
59,Masculino,Vendas/MKT,Híbrido,5,3,3,2,2,1,10.4,Baixo Risco
41,Feminino,Vendas/MKT,Home Office,3,7,3,2,5,4,12.5,Moderado Risco
56,Feminino,Educação,Home Office,2,14,0,4,4,4,15.8,Moderado Risco
46,Masculino,Vendas/MKT,Presencial,3,1,0,5,1,3,11.7,Baixo Risco
56,Feminino,Vendas/MKT,Home Office,4,0,3,3,5,4,12.5,Moderado Risco
46,Feminino,Logística,Presencial,3,5,4,1,3,2,13.6,Moderado Risco
50,Masculino,Administrativo,Híbrido,1,9,2,3,4,3,13.8,Moderado Risco
39,Feminino,Tecnologia,Home Office,3,9,11,3,4,5,13.8,Moderado Risco
39,Feminino,Administrativo,Presencial,3,7,6,5,2,5,13.4,Moderado Risco
23,Feminino,Financeiro,Home Office,4,6,3,1,5,4,11.0,Baixo Risco
56,Masculino,Logística,Home Office,5,8,5,4,5,5,17.5,Alto Risco
37,Masculino,Tecnologia,Híbrido,3,0,5,5,2,5,11.9,Baixo Risco
57,Masculino,Logística,Híbrido,4,2,5,2,5,1,17.0,Alto Risco
54,Masculino,Educação,Híbrido,1,8,4,1,5,1,15.0,Moderado Risco
25,Feminino,Administrativo,Home Office,3,4,5,2,4,5,9.8,Baixo Risco
54,Feminino,Administrativo,Presencial,3,5,1,1,1,3,7.2,Baixo Risco
35,Masculino,Administrativo,Híbrido,1,13,3,2,3,5,10.6,Baixo Risco
42,Masculino,Saúde,Presencial,2,10,9,5,3,2,22.1,Alto Risco
41,Feminino,Administrativo,Presencial,5,12,6,1,1,3,9.7,Baixo Risco
29,Masculino,Financeiro,Home Office,1,6,3,4,3,2,15.1,Moderado Risco
28,Feminino,Administrativo,Híbrido,1,2,5,5,1,2,13.7,Moderado Risco
24,Feminino,Saúde,Home Office,1,6,1,1,5,4,13.0,Moderado Risco
38,Feminino,Logística,Híbrido,2,2,1,2,2,1,12.4,Moderado Risco
54,Feminino,Administrativo,Híbrido,1,5,1,3,5,4,14.0,Moderado Risco
33,Masculino,Administrativo,Presencial,2,7,2,1,2,2,9.4,Baixo Risco
43,Masculino,Educação,Home Office,5,6,1,5,1,4,12.2,Moderado Risco
43,Feminino,Vendas/MKT,Presencial,2,4,1,2,5,4,11.0,Baixo Risco
51,Feminino,Tecnologia,Híbrido,5,11,8,5,1,3,16.7,Moderado Risco
59,Masculino,Vendas/MKT,Híbrido,5,5,2,2,4,4,11.3,Baixo Risco
59,Feminino,Educação,Híbrido,5,3,3,5,1,3,11.7,Baixo Risco
29,Masculino,Tecnologia,Híbrido,4,1,6,1,5,4,10.5,Baixo Risco
48,Feminino,Tecnologia,Híbrido,5,6,7,1,2,4,8.4,Baixo Risco
48,Masculino,Tecnologia,Presencial,2,3,9,1,4,2,12.3,Moderado Risco
55,Feminino,Vendas/MKT,Híbrido,4,5,3,2,5,2,14.5,Moderado Risco
42,Feminino,Tecnologia,Home Office,1,9,10,4,5,5,16.5,Moderado Risco
51,Feminino,Financeiro,Híbrido,1,11,5,5,5,5,18.5,Alto Risco
54,Feminino,Financeiro,Presencial,3,1,4,4,4,3,14.8,Moderado Risco
49,Feminino,Logística,Híbrido,5,13,2,4,5,2,21.0,Alto Risco
54,Masculino,Vendas/MKT,Presencial,3,1,2,4,2,5,9.4,Baixo Risco
26,Feminino,Educação,Presencial,5,5,5,3,5,4,15.0,Moderado Risco
40,Feminino,Logística,Híbrido,5,7,0,5,3,2,18.6,Alto Risco
25,Masculino,Financeiro,Híbrido,2,0,4,3,1,4,8.7,Baixo Risco
56,Masculino,Financeiro,Presencial,2,13,6,5,3,4,17.1,Alto Risco
38,Outro,Administrativo,Híbrido,1,9,6,3,2,3,12.4,Moderado Risco
49,Masculino,Saúde,Home Office,4,6,6,5,2,2,18.4,Alto Risco
51,Masculino,Saúde,Home Office,1,5,9,1,1,4,10.2,Baixo Risco
50,Masculino,Vendas/MKT,Home Office,5,13,4,4,2,3,15.4,Moderado Risco
27,Masculino,Financeiro,Presencial,4,14,3,2,2,1,13.4,Moderado Risco
56,Masculino,Vendas/MKT,Presencial,3,4,7,4,5,1,18.0,Alto Risco
58,Feminino,Saúde,Home Office,5,12,7,5,1,4,16.7,Moderado Risco
45,Feminino,Vendas/MKT,Presencial,2,9,4,2,3,4,11.1,Baixo Risco
50,Feminino,Tecnologia,Presencial,1,12,1,4,5,1,20.0,Alto Risco
52,Masculino,Financeiro,Híbrido,1,11,3,5,5,5,17.5,Alto Risco
56,Masculino,Saúde,Presencial,3,12,11,4,3,3,19.6,Alto Risco
54,Masculino,Vendas/MKT,Home Office,1,7,4,5,2,4,14.4,Moderado Risco
42,Feminino,Administrativo,Home Office,1,0,0,3,4,1,14.3,Moderado Risco
53,Masculino,Financeiro,Home Office,4,4,4,3,4,1,15.3,Moderado Risco
44,Masculino,Vendas/MKT,Home Office,5,11,7,1,2,1,12.9,Moderado Risco
54,Feminino,Educação,Presencial,4,5,1,2,5,1,15.5,Moderado Risco
24,Masculino,Administrativo,Home Office,4,3,1,3,3,1,13.1,Moderado Risco
39,Feminino,Vendas/MKT,Híbrido,1,9,7,5,4,1,19.8,Alto Risco
46,Masculino,Tecnologia,Híbrido,5,10,9,4,5,4,19.0,Alto Risco
52,Masculino,Vendas/MKT,Presencial,1,11,7,1,4,3,13.3,Moderado Risco
24,Masculino,Logística,Home Office,1,9,3,4,3,1,18.1,Alto Risco
45,Masculino,Tecnologia,Home Office,4,1,9,4,5,1,19.0,Alto Risco
53,Masculino,Saúde,Presencial,2,12,1,2,1,1,14.2,Moderado Risco
43,Masculino,Administrativo,Presencial,2,7,7,4,5,1,19.5,Alto Risco
44,Feminino,Administrativo,Presencial,4,4,4,2,1,1,10.2,Baixo Risco
23,Masculino,Vendas/MKT,Híbrido,4,9,1,5,2,2,15.4,Moderado Risco
48,Feminino,Administrativo,Presencial,1,5,7,4,3,2,16.1,Moderado Risco
23,Feminino,Vendas/MKT,Home Office,5,8,2,4,4,1,17.3,Alto Risco
47,Masculino,Tecnologia,Híbrido,1,13,9,4,2,1,18.4,Alto Risco
38,Masculino,Saúde,Híbrido,1,1,8,5,2,5,14.9,Moderado Risco
54,Feminino,Tecnologia,Home Office,3,4,9,3,5,5,13.5,Moderado Risco
30,Feminino,Tecnologia,Híbrido,1,11,5,3,5,3,17.5,Alto Risco
50,Feminino,Saúde,Híbrido,5,0,10,5,1,2,16.7,Moderado Risco
47,Feminino,Logística,Home Office,1,2,4,1,1,4,7.7,Baixo Risco
56,Feminino,Vendas/MKT,Home Office,4,5,5,1,2,3,9.4,Baixo Risco
46,Masculino,Administrativo,Presencial,5,7,3,2,2,3,9.9,Baixo Risco
45,Feminino,Educação,Presencial,4,11,0,5,5,1,21.5,Alto Risco
34,Masculino,Administrativo,Presencial,3,4,2,1,5,1,12.5,Moderado Risco
28,Feminino,Logística,Híbrido,3,11,7,2,4,4,15.8,Moderado Risco
57,Outro,Administrativo,Presencial,5,3,2,4,3,5,10.6,Baixo Risco
41,Feminino,Financeiro,Híbrido,2,4,4,4,4,1,16.8,Moderado Risco
22,Feminino,Saúde,Home Office,2,3,8,1,3,2,13.1,Moderado Risco
29,Feminino,Administrativo,Presencial,5,1,2,2,2,4,7.4,Baixo Risco
37,Masculino,Financeiro,Híbrido,5,13,1,2,5,4,14.0,Moderado Risco
35,Masculino,Logística,Híbrido,4,0,3,3,4,1,16.3,Moderado Risco
33,Feminino,Saúde,Híbrido,3,7,6,1,3,4,11.6,Baixo Risco
44,Feminino,Educação,Híbrido,5,13,1,3,1,5,9.7,Baixo Risco
36,Feminino,Administrativo,Home Office,1,14,4,5,3,1,20.1,Alto Risco
49,Masculino,Tecnologia,Presencial,4,12,10,2,3,5,12.6,Moderado Risco
55,Masculino,Administrativo,Presencial,3,0,4,3,5,5,12.5,Moderado Risco
23,Feminino,Tecnologia,Híbrido,4,1,8,2,4,2,13.8,Moderado Risco
53,Feminino,Financeiro,Híbrido,3,4,2,5,2,1,14.9,Moderado Risco
